,dataset mode,dataset,system name,dialog id,audio path,turn info path
0,real,davidaitest,groundtruth,0,dialog/groundtruth/real/davidaitest/39/0/39_0.wav,
1,real,davidaitest,cosyvoice,0,dialog/cosyvoice/real/davidaitest/39/0/39_0.wav,
2,real,davidaitest,mooncast,0,dialog/mooncast/real/davidaitest/39/0/39_0.wav,
3,real,davidaitest,mooncast_original,0,dialog/mooncast_original/real/davidaitest/39/0/39_0.wav,
4,real,davidaitest,baseline---prompt,0,dialog/baseline---prompt/real/davidaitest/39/0/39_0.wav,
5,real,davidaitest,textmspmanualvad---vad-linear-regression,0,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/39/0/39_0.wav,
6,real,davidaitest,prompt,0,dialog/prompt/real/davidaitest/39/0/39_0.wav,dialog/prompt/real/davidaitest/39/0/39_0.json
7,real,davidaitest,groundtruth,1,dialog/groundtruth/real/davidaitest/219/0/219_0.wav,
8,real,davidaitest,cosyvoice,1,dialog/cosyvoice/real/davidaitest/219/0/219_0.wav,
9,real,davidaitest,mooncast,1,dialog/mooncast/real/davidaitest/219/0/219_0.wav,
10,real,davidaitest,mooncast_original,1,dialog/mooncast_original/real/davidaitest/219/0/219_0.wav,
11,real,davidaitest,baseline---prompt,1,dialog/baseline---prompt/real/davidaitest/219/0/219_0.wav,
12,real,davidaitest,textmspmanualvad---vad-linear-regression,1,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/219/0/219_0.wav,
13,real,davidaitest,prompt,1,dialog/prompt/real/davidaitest/219/0/219_0.wav,dialog/prompt/real/davidaitest/219/0/219_0.json
14,real,davidaitest,groundtruth,2,dialog/groundtruth/real/davidaitest/24/0/24_0.wav,
15,real,davidaitest,cosyvoice,2,dialog/cosyvoice/real/davidaitest/24/0/24_0.wav,
16,real,davidaitest,mooncast,2,dialog/mooncast/real/davidaitest/24/0/24_0.wav,
17,real,davidaitest,mooncast_original,2,dialog/mooncast_original/real/davidaitest/24/0/24_0.wav,
18,real,davidaitest,baseline---prompt,2,dialog/baseline---prompt/real/davidaitest/24/0/24_0.wav,
19,real,davidaitest,textmspmanualvad---vad-linear-regression,2,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/24/0/24_0.wav,
20,real,davidaitest,prompt,2,dialog/prompt/real/davidaitest/24/0/24_0.wav,dialog/prompt/real/davidaitest/24/0/24_0.json
21,real,davidaitest,groundtruth,3,dialog/groundtruth/real/davidaitest/197/5/197_5.wav,
22,real,davidaitest,cosyvoice,3,dialog/cosyvoice/real/davidaitest/197/5/197_5.wav,
23,real,davidaitest,mooncast,3,dialog/mooncast/real/davidaitest/197/5/197_5.wav,
24,real,davidaitest,mooncast_original,3,dialog/mooncast_original/real/davidaitest/197/5/197_5.wav,
25,real,davidaitest,baseline---prompt,3,dialog/baseline---prompt/real/davidaitest/197/5/197_5.wav,
26,real,davidaitest,textmspmanualvad---vad-linear-regression,3,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/197/5/197_5.wav,
27,real,davidaitest,prompt,3,dialog/prompt/real/davidaitest/197/5/197_5.wav,dialog/prompt/real/davidaitest/197/5/197_5.json
28,real,davidaitest,groundtruth,4,dialog/groundtruth/real/davidaitest/177/0/177_0.wav,
29,real,davidaitest,cosyvoice,4,dialog/cosyvoice/real/davidaitest/177/0/177_0.wav,
30,real,davidaitest,mooncast,4,dialog/mooncast/real/davidaitest/177/0/177_0.wav,
31,real,davidaitest,mooncast_original,4,dialog/mooncast_original/real/davidaitest/177/0/177_0.wav,
32,real,davidaitest,baseline---prompt,4,dialog/baseline---prompt/real/davidaitest/177/0/177_0.wav,
33,real,davidaitest,textmspmanualvad---vad-linear-regression,4,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/177/0/177_0.wav,
34,real,davidaitest,prompt,4,dialog/prompt/real/davidaitest/177/0/177_0.wav,dialog/prompt/real/davidaitest/177/0/177_0.json
35,real,davidaitest,groundtruth,5,dialog/groundtruth/real/davidaitest/6/3/6_3.wav,
36,real,davidaitest,cosyvoice,5,dialog/cosyvoice/real/davidaitest/6/3/6_3.wav,
37,real,davidaitest,mooncast,5,dialog/mooncast/real/davidaitest/6/3/6_3.wav,
38,real,davidaitest,mooncast_original,5,dialog/mooncast_original/real/davidaitest/6/3/6_3.wav,
39,real,davidaitest,baseline---prompt,5,dialog/baseline---prompt/real/davidaitest/6/3/6_3.wav,
40,real,davidaitest,textmspmanualvad---vad-linear-regression,5,dialog/textmspmanualvad---vad-linear-regression/real/davidaitest/6/3/6_3.wav,
